Time,borFie.toughRes.yCheTou
0,1
0.2055936,1
0.4111872,1
0.6167808,1
0.8223744,1
1.027968,1
1.2335616,1
1.4391552,1
1.6447488,1
1.8503425,1
2.055936,1
2.2615297,1
2.4671233,1
2.6727169,1
2.8783104,1
3.083904,1
3.2894976,1
3.4950914,1
3.700685,1
3.9062786,1
4.111872,1
4.317466,1
4.5230594,1
4.728653,1
4.9342465,1
5.13984,1
5.3454337,1
5.5510273,1
5.756621,1
5.9622145,1
6.167808,1
6.3734016,1
6.578995,1
6.784589,1
6.990183,1
7.1957765,1
7.40137,1
7.6069636,1
7.812557,1
8.01815,1
8.223744,1
8.4293375,1
8.634932,1
8.840525,1
9.046119,1
9.251713,1
9.457306,1
9.6629,1
9.868493,1
10.074087,1
10.27968,1
10.485274,1
10.690867,1
10.8964615,1
11.102055,1
11.307649,1
11.513242,1
11.718836,1
11.924429,1
12.130023,1
12.335616,1
12.54121,1
12.746803,1
12.952397,1
13.15799,1
13.3635845,1
13.569178,1
13.774772,1
13.980366,1
14.185959,1
14.391553,1
14.597146,1
14.80274,1
15.008333,1
15.213927,1
15.41952,1
15.625114,1
15.830708,1
16.0363,1
16.241896,1
16.447489,1
16.653082,1
16.858675,1
17.06427,1
17.269863,1
17.475456,1
17.68105,1
17.886644,1
18.092237,1
18.29783,1
18.503426,1
18.709019,1
18.914612,1
19.120205,1
19.3258,1
19.531393,1
19.736986,1
19.94258,1
20.148174,1
20.353767,1
20.55936,1
20.764954,1
20.970549,1
21.176142,1
21.381735,1
21.587328,1
21.792923,1
21.998516,1
22.20411,1
22.409702,1
22.615297,1
22.82089,1
23.026484,1
23.232079,1
23.437672,1
23.643265,1
23.848858,1
24.054453,1
24.260046,1
24.46564,1
24.671232,1
24.876827,1
25.08242,1
25.288013,1
25.493607,1
25.699202,1
25.904795,1
26.110388,1
26.31598,1
26.521576,1
26.727169,1
26.932762,1
27.138355,1
27.34395,1
27.549543,1
27.755136,1
27.960732,1
28.166325,1
28.371918,1
28.57751,1
28.783106,1
28.988699,1
29.194292,1
29.399885,1
29.60548,1
29.811073,1
30.016666,1
30.22226,1
30.427855,1
30.633448,1
30.83904,1
31.044634,1
31.250229,1
31.455822,1
31.661415,1
31.867008,1
32.0726,1
32.2782,1
32.48379,1
32.689384,1
32.894978,1
33.10057,1
33.306164,1
33.511757,1
33.71735,1
33.922947,1
34.12854,1
34.334133,1
34.539726,1
34.74532,1
34.950912,1
35.156506,1
35.3621,1
35.567696,1
35.77329,1
35.97888,1
36.184475,1
36.390068,1
36.59566,1
36.801254,1
37.00685,1
37.212444,1
37.418037,1
37.62363,1
37.829224,1
38.034817,1
38.24041,1
38.446003,1
38.6516,1
38.857193,1
39.062786,1
39.26838,1
39.473972,1
39.679565,1
39.88516,1
40.09075,1
40.29635,1
40.50194,1
40.707535,1
40.913128,1
41.11872,1
41.324314,1
41.529907,1
41.735504,1
41.941097,1
42.14669,1
42.352283,1
42.557877,1
42.76347,1
42.969063,1
43.174656,1
43.380253,1
43.585846,1
43.79144,1
43.997032,1
44.202625,1
44.40822,1
44.61381,1
44.819405,1
45.025,1
45.230595,1
45.436188,1
45.64178,1
45.847374,1
46.052967,1
46.25856,1
46.464157,1
46.66975,1
46.875343,1
47.080936,1
47.28653,1
47.492123,1
47.697716,1
47.90331,1
48.108906,1
48.3145,1
48.520092,1
48.725685,1
48.93128,1
49.13687,1
49.342464,1
49.548058,1
49.753654,1
49.959248,1
50.16484,1
50.370434,1
50.576027,1
50.78162,1
50.987213,1
51.19281,1
51.398403,1
51.603996,1
51.80959,1
52.015182,1
52.220776,1
52.42637,1
52.63196,1
52.83756,1
53.04315,1
53.248745,1
53.454338,1
53.65993,1
53.865524,1
54.071117,1
54.27671,1
54.482307,1
54.6879,1
54.893494,1
55.099087,1
55.30468,1
55.510273,1
55.715866,1
55.921463,1
56.127056,1
56.33265,1
56.538242,1
56.743835,1
56.94943,1
57.15502,1
57.360615,1
57.56621,1
57.771805,1
57.977398,1
58.18299,1
58.388584,1
58.594177,1
58.79977,1
59.005363,1
59.21096,1
59.416553,1
59.622147,1
59.82774,1
60,1
