"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.41400000000E+004,  0.78647223404E+006,  0.11219863111E+002,  0.00000000000E+000,  0.10000000000E+001
  0.43200000000E+004,  0.78654980711E+006,  0.11227544581E+002,  0.00000000000E+000,  0.10000000000E+001
  0.46800000000E+004,  0.78670332743E+006,  0.11242731407E+002,  0.00000000000E+000,  0.10000000000E+001
  0.49500000000E+004,  0.78681767932E+006,  0.11254023685E+002,  0.00000000000E+000,  0.10000000000E+001
