"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.41400000000E+004,  0.31024093174E+006,  0.10906687074E+002,  0.00000000000E+000,  0.10000000000E+001
  0.43200000000E+004,  0.31033045651E+006,  0.10916008491E+002,  0.00000000000E+000,  0.10000000000E+001
  0.46800000000E+004,  0.31050771832E+006,  0.10934443746E+002,  0.00000000000E+000,  0.10000000000E+001
  0.49500000000E+004,  0.31063987491E+006,  0.10948154825E+002,  0.00000000000E+000,  0.10000000000E+001
