"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.41400000000E+004,  0.31298881152E+006,  0.10397501397E+002,  0.00000000000E+000,  0.10000000000E+001
  0.43200000000E+004,  0.31298882051E+006,  0.10397501453E+002,  0.00000000000E+000,  0.10000000000E+001
  0.46800000000E+004,  0.31298883177E+006,  0.10397501565E+002,  0.00000000000E+000,  0.10000000000E+001
  0.49500000000E+004,  0.31298883714E+006,  0.10397501649E+002,  0.00000000000E+000,  0.10000000000E+001
